standid,longitude,latitude,main_species,vol_m3_per_ha,age_years,size_in_ha
26480500,22.1362,61.8299,pine,76,102,1.6
26668500,22.0815,61.8418,pine,116,55,0.7
26480000,22.2296,61.8314,pine,179,72,0.9
18054000,21.9287,61.9813,pine,134,50,1.4
17945500,21.8704,61.9631,pine,115,33,2.2
4528000,21.8766,61.9377,pine,45,17,3.8
17945000,21.8671,61.9797,spruce,220,62,3.0
17795500,21.8093,61.9481,spruce,187,61,2.1
13817500,21.7098,61.9525,spruce,235,85,0.8
13813000,21.7100,61.9311,pine,136,50,0.7
18054500,21.9159,61.9660,pine,104,35,1.2
17587500,21.8672,61.9102,spruce,265,61,3.5
17442500,21.8819,61.8924,pine,226,63,0.9
15167000,21.9584,61.8736,spruce,293,85,0.9
26670000,21.9991,61.8791,pine,171,57,0.7
15546000,21.9455,61.8988,pine,160,70,4.5
26671000,21.9804,61.8992,pine,228,47,1.4
16868500,21.9696,61.8951,pine,240,73,0.9
17443000,21.8775,61.8678,pine,147,41,1.6
15163000,21.9646,61.8485,spruce,199,88,2.3
17959000,21.8944,61.8304,pine,167,49,1.4
17953000,21.8943,61.8365,pine,109,63,0.7
13817000,21.6343,61.9534,pine,109,42,1.0
13934000,21.5320,61.9401,pine,127,47,0.7
14061500,21.5850,61.9103,spruce,303,86,0.7
13809000,21.6238,61.8885,pine,164,78,1.1
13666000,21.6300,61.8027,spruce,316,88,1.1
13659000,21.6374,61.8191,spruce,244,81,2.2
13666500,21.6049,61.8102,spruce,66,31,0.8
13906000,21.6184,61.8969,pine,158,48,0.6
14063000,21.6045,61.8892,pine,172,84,1.6
14058000,21.5751,61.8862,pine,232,92,2.1
13900500,21.5670,61.8925,pine,100,75,0.6
14290000,21.5804,61.8519,spruce,324,81,1.0
13657000,21.5733,61.7942,pine,171,36,0.7
13644500,21.5486,61.7764,spruce,71,20,1.1
13660000,21.5837,61.8216,pine,25,14,3.3
13661000,21.5395,61.8183,spruce,132,49,1.8
14057000,21.5343,61.8976,pine,150,65,0.9
14055500,21.4834,61.9029,spruce,176,57,3.1
13396000,21.4702,61.7928,spruce,53,23,0.8
26741000,22.4709,61.7182,pine,98,54,0.6
10729000,22.4332,61.6967,spruce,162,59,0.7
10729500,22.4188,61.6965,spruce,229,88,1.2
10718500,22.3443,61.7090,spruce,197,75,2.0
26748000,22.2962,61.7903,pine,141,49,3.1
26827000,22.2592,61.7465,pine,55,51,1.3
26616000,22.2683,61.7967,pine,254,63,0.6
26829000,22.2066,61.6906,spruce,129,51,1.1
27498500,22.1843,61.6900,spruce,298,61,4.3
27602000,22.1154,61.7589,spruce,177,38,0.6
13813500,21.6736,61.9189,spruce,124,28,2.2
17796000,21.7990,61.9233,pine,81,49,0.5
13809500,21.6643,61.8790,pine,159,89,0.8
4521500,21.8022,61.8685,spruce,46,32,1.1
18093500,21.7124,61.8633,pine,181,75,1.3
17450500,21.8066,61.8577,other,164,41,0.9
18094500,21.7044,61.8369,spruce,73,49,0.6
14222000,21.6586,61.8649,spruce,212,89,1.0
15746500,21.8519,61.8098,pine,27,19,1.2
15790000,21.8187,61.8142,birch,73,34,0.6
17941000,21.7028,61.7980,pine,182,84,1.7
13644000,21.6836,61.7849,pine,156,72,0.6
13634000,21.6586,61.7426,spruce,112,89,0.6
10358500,22.5823,61.6592,spruce,185,70,0.9
10934000,22.5601,61.6592,other,163,42,0.8
26739500,22.4944,61.7372,spruce,105,34,0.5
10614500,22.4867,61.5992,spruce,271,64,1.3
10731000,22.4616,61.6951,spruce,286,88,1.9
10738500,22.4466,61.6837,spruce,238,89,0.5
27499500,22.4700,61.7705,spruce,106,48,1.0
26746500,22.4124,61.7436,spruce,66,37,1.2
26738500,22.4529,61.7266,spruce,232,70,0.8
10550000,22.4391,61.6315,other,135,79,0.8
10412000,22.3831,61.6273,pine,184,55,4.0
26745000,22.3317,61.7639,pine,260,60,1.0
26827500,22.2866,61.7301,pine,178,75,2.1
11410000,22.3348,61.6988,spruce,223,46,1.0
11420000,22.3572,61.6589,spruce,260,71,1.3
14099500,22.3747,61.6789,spruce,289,78,0.8
14099000,22.3189,61.6398,spruce,257,61,0.8
26828500,22.2273,61.7342,pine,48,20,1.1
11402000,22.2519,61.6797,pine,127,63,1.3
28247000,22.2473,61.7295,spruce,218,63,0.8
27495500,22.1687,61.7555,pine,60,33,0.7
27497000,22.1329,61.6848,pine,136,80,1.4
27497500,22.1094,61.7057,spruce,289,55,1.7
26615500,22.0624,61.8270,other,165,41,5.0
15153000,22.0399,61.8150,pine,69,118,1.1
27304500,22.0865,61.6836,spruce,175,65,2.2
27495000,22.0581,61.6980,spruce,177,49,0.6
27494500,22.0568,61.7173,spruce,296,69,1.0
18065500,22.0145,61.7885,other,86,34,1.5
27306000,22.0539,61.6661,pine,110,24,0.8
27600500,22.0278,61.7111,pine,184,65,1.4
27601000,21.9993,61.7259,pine,251,66,1.3
17904000,21.9962,61.8206,pine,187,53,0.9
18053000,22.0193,61.7646,spruce,272,83,1.2
15129500,21.9533,61.7632,spruce,42,21,0.6
15132000,21.9438,61.7598,pine,144,68,1.2
15131000,21.9846,61.7518,pine,243,96,1.9
9301000,22.3116,61.5025,spruce,259,65,3.0
14097000,22.1958,61.5754,spruce,233,54,0.6
11852500,22.1126,61.5813,pine,220,77,1.2
14178000,22.0462,61.5614,birch,158,29,1.2
10229500,22.2966,61.5576,spruce,165,49,0.6
8792500,22.1395,61.5484,pine,227,66,0.7
8779500,22.1489,61.5334,pine,161,70,3.1
9300000,22.2944,61.5105,pine,124,73,1.6
27603000,21.9458,61.6866,pine,38,36,2.1
27604000,21.9064,61.6781,pine,232,69,1.3
15130000,21.9226,61.7297,pine,99,73,0.5
15534000,21.8385,61.7809,other,115,51,0.6
15438500,21.8193,61.7736,pine,142,61,1.3
27602500,21.8299,61.7004,spruce,398,66,0.9
14088000,21.8277,61.6755,pine,75,56,3.3
14089500,21.7919,61.6907,pine,169,33,0.6
14088500,21.8015,61.6510,pine,172,65,3.5
11185000,21.7534,61.6626,spruce,270,88,0.7
14089000,21.7449,61.7344,pine,174,76,7.9
17896000,21.7279,61.7542,pine,155,54,0.7
11480500,22.2307,61.6588,spruce,178,52,0.7
11481500,22.2547,61.6616,spruce,53,18,1.2
11433000,22.3022,61.6526,pine,121,24,0.6
14100000,22.2416,61.6448,spruce,266,102,0.9
27306500,22.1555,61.6446,spruce,201,53,2.1
27308000,22.0080,61.6329,pine,114,78,1.4
14086500,21.9529,61.6183,pine,133,65,1.4
14095000,22.1033,61.6332,spruce,288,76,0.8
14178500,22.0826,61.6097,pine,203,89,2.0
11603000,22.1999,61.6269,pine,195,69,1.7
14171000,21.8730,61.6101,pine,288,38,0.6
11599000,22.1961,61.6241,spruce,148,40,2.0
14180000,22.1355,61.6001,spruce,266,95,0.6
24471500,21.7954,61.5856,spruce,133,44,0.6
23968500,21.7713,61.5780,spruce,273,67,0.6
23966000,21.7367,61.5938,other,38,22,0.8
23968000,21.7275,61.5801,pine,195,56,7.5
13655000,21.6321,61.7667,other,141,43,1.1
10981000,21.6342,61.7385,spruce,280,76,0.6
11012000,21.5815,61.7372,spruce,283,90,1.0
22392000,21.5570,61.7113,spruce,297,86,0.5
24464000,21.5568,61.6956,spruce,330,81,0.8
11120500,21.7398,61.7178,spruce,212,64,0.8
11143500,21.7320,61.6995,spruce,283,92,3.7
24465500,21.6512,61.6857,spruce,61,17,2.0
24466000,21.7157,61.6672,spruce,82,75,1.0
22389500,21.5944,61.6653,spruce,219,82,0.5
22387000,21.7195,61.6292,spruce,329,77,1.4
22391500,21.7242,61.6238,spruce,194,54,2.9
22387500,21.6406,61.6343,pine,63,18,1.4
24464500,21.4694,61.6194,other,170,39,1.0
10355000,22.5861,61.6718,pine,120,39,0.8
10008500,22.5336,61.6564,spruce,239,91,1.3
11849500,22.4434,61.5451,pine,179,73,1.0
10906000,22.5087,61.5539,spruce,284,70,3.3
11850000,22.4049,61.5269,spruce,196,72,1.2
10694000,22.3917,61.5472,pine,130,44,1.5
10233000,22.3703,61.5694,pine,272,93,4.5
10655500,22.3517,61.6020,birch,85,16,1.4
10938000,22.5802,61.1621,spruce,191,54,2.1
10780000,22.5775,61.0261,pine,120,72,1.3
12214000,22.7166,61.1281,pine,256,45,0.8
24868000,22.6128,61.0852,pine,40,12,7.5
24868500,22.6022,61.0720,spruce,109,33,0.7
24869000,22.6450,61.0496,spruce,298,54,0.7
11000000,22.5821,61.1344,spruce,170,48,1.9
11037500,22.6206,61.1380,other,254,49,1.4
14146000,22.7914,62.1664,pine,34,33,0.6
14146500,22.7642,62.1612,pine,144,85,0.8
14141500,22.7489,62.1903,spruce,271,81,0.6
14124500,22.6754,62.1570,pine,81,25,1.4
25549500,22.7245,62.2446,pine,221,65,0.7
25552500,22.6972,62.2184,pine,116,34,1.0
14138000,22.6252,62.1893,pine,144,69,3.2
14379500,22.5422,62.2224,pine,156,48,0.7
14311500,22.5449,62.1961,pine,141,61,1.3
14166000,22.6211,61.9455,pine,57,53,0.5
14236500,22.6241,61.9560,pine,130,38,0.9
11969000,22.5948,61.9462,pine,71,30,1.8
27141500,22.4261,61.8611,pine,204,72,6.2
13963000,22.6707,61.8752,spruce,104,71,0.7
14073000,22.4567,61.8309,pine,107,68,0.9
13975000,22.6578,61.8347,pine,234,61,1.5
13139000,22.5689,61.8281,spruce,145,40,0.7
14002000,22.5677,61.8231,pine,177,72,0.8
14006000,22.6233,61.8344,pine,267,68,2.4
27504000,22.4204,61.8113,pine,57,26,2.1
14076000,22.5126,61.8014,pine,134,62,3.0
13896000,22.7019,61.7994,spruce,347,75,1.2
14080000,22.5896,61.7831,pine,130,61,0.7
14079500,22.6317,61.7731,other,63,26,2.3
14273500,22.4777,61.9798,pine,159,62,1.7
14166500,22.4825,61.9672,spruce,318,80,0.8
11922000,22.5212,61.9502,birch,50,20,5.5
14273000,22.4771,61.9137,pine,178,57,2.4
11994000,22.5984,61.9162,spruce,137,54,0.7
13268000,22.5244,61.9796,pine,155,78,2.0
14275000,22.4207,61.8890,pine,132,55,2.2
27142000,22.2852,61.9491,spruce,318,62,1.1
26474500,22.2443,61.9076,pine,31,76,0.6
26479000,22.1529,61.9089,spruce,95,32,2.7
26475500,22.2114,61.8827,pine,125,41,0.6
27137000,22.3348,61.9013,pine,128,47,1.1
27138500,22.3296,61.9085,pine,165,61,0.9
27138000,22.3192,61.8945,pine,227,49,0.8
27139000,22.3851,61.9219,spruce,276,65,1.3
26475000,22.2496,61.9010,spruce,278,65,0.6
3999000,22.3345,61.8781,other,234,62,0.6
27140000,22.3748,61.8835,pine,138,47,0.8
14253000,22.4281,61.8464,pine,322,84,0.9
27139500,22.3713,61.8864,pine,116,50,1.0
27141000,22.3560,61.8640,pine,172,58,1.7
14068500,22.4263,61.8309,pine,142,21,1.0
17556000,22.0066,61.9689,spruce,49,17,0.7
27142500,22.3654,61.9820,pine,201,60,2.1
16992000,22.3280,61.9747,pine,147,78,3.6
17559500,22.2269,61.9378,spruce,380,100,1.2
17563000,22.1871,61.9235,pine,212,80,0.7
17557000,22.1429,62.0047,pine,185,66,2.4
17561000,22.1031,62.0049,pine,162,83,1.9
17558500,22.1574,61.9320,pine,114,34,2.9
17560000,22.0174,61.9884,pine,129,55,0.7
14075000,22.6970,61.7603,pine,78,47,1.4
14074500,22.6959,61.7655,pine,167,78,1.2
27501500,22.6293,61.7427,pine,147,67,0.8
27501000,22.6277,61.7582,pine,188,64,1.4
27503500,22.6724,61.6983,spruce,371,67,0.9
27503000,22.6433,61.7079,spruce,131,50,0.7
27500500,22.6072,61.7482,spruce,350,74,1.8
25550500,22.6805,62.2824,pine,109,49,1.2
25553500,22.6564,62.2749,pine,31,52,0.8
25552000,22.5935,62.3025,spruce,201,78,1.0
14274000,22.4719,62.0029,pine,65,61,1.6
17276000,22.1928,62.0537,pine,143,67,2.4
17279500,22.1364,62.0477,pine,29,18,0.5
17556500,22.1210,62.0246,pine,185,87,0.6
17561500,22.0937,62.0180,pine,95,53,0.6
16994000,22.2955,62.0226,pine,24,17,7.0
10837000,22.6288,61.2652,spruce,193,45,1.8
10462000,22.5897,61.2631,other,131,36,1.8
10928500,22.6329,61.5687,spruce,65,13,1.2
13962500,22.7307,61.8960,pine,180,38,0.7
13755000,21.5809,62.0183,spruce,243,87,2.4
17773500,21.7711,61.9937,spruce,199,82,1.4
13782000,21.7293,61.9954,spruce,189,76,2.6
13783500,21.7305,61.9860,pine,113,41,1.5
13780500,21.6977,61.9852,spruce,164,68,0.9
14032000,21.5032,61.9861,pine,128,89,0.9
13775000,21.6450,61.9806,spruce,294,82,1.5
10864000,22.5869,61.6350,pine,173,84,2.1
19254500,22.7026,61.6589,pine,165,57,2.0
19251500,22.7099,61.6510,pine,98,54,1.4
10400500,22.6465,61.6695,other,150,60,1.0
10573500,22.6165,61.6396,spruce,203,79,2.5
10960500,22.5604,61.6300,spruce,70,32,0.8
23474000,21.8410,61.0105,spruce,207,54,1.5
16837000,22.3953,62.0770,pine,94,36,1.3
14425000,22.4565,62.0743,pine,138,67,1.4
14426000,22.4020,62.0430,pine,127,52,1.2
13332500,22.5344,62.0464,pine,121,63,4.0
14401500,22.4876,62.0178,pine,128,76,2.5
16836000,22.2796,62.0922,pine,62,29,0.9
16838500,22.3896,62.0719,pine,184,71,2.1
16839000,22.3544,62.0638,pine,79,44,1.1
16991500,22.2793,62.0685,pine,164,66,0.6
16992500,22.3080,62.0448,pine,206,58,2.8
16993500,22.3066,62.0481,pine,205,87,2.4
17278000,22.1818,62.0864,other,147,38,0.7
11909000,22.6400,61.9584,pine,79,25,0.9
14474000,22.4330,62.1367,pine,56,29,0.9
14483000,22.4324,62.1358,pine,132,63,0.5
16837500,22.4016,62.1083,pine,140,71,1.9
13264000,22.5708,62.1114,pine,115,37,1.1
14484000,22.5298,62.1036,pine,150,57,1.0
13265000,22.5811,62.1133,pine,136,62,1.0
14124000,22.6640,62.1115,pine,223,77,2.1
15003500,22.6845,62.0900,spruce,219,58,1.2
14845000,22.5683,62.0535,pine,131,71,0.6
13300000,22.6474,62.0873,other,129,55,0.8
13310000,22.6527,62.0814,pine,41,16,3.0
14301500,22.5274,62.1778,pine,166,45,1.1
14309500,22.4785,62.1877,pine,140,63,0.8
14294500,22.4598,62.1662,pine,105,43,3.3
13406500,22.4591,62.1646,pine,31,32,1.1
25550000,22.8232,62.2609,pine,57,54,1.5
11161000,22.7533,61.8415,spruce,177,68,0.8
11155000,22.8085,61.8204,pine,69,76,1.4
14079000,22.7763,61.7697,pine,156,80,0.6
14023000,22.7988,61.7795,spruce,240,75,1.6
14075500,22.7339,61.7612,pine,22,78,2.3
11843500,22.6905,61.6342,pine,124,52,4.3
9299000,22.3639,61.4798,spruce,199,71,1.6
13251000,22.2336,61.4419,spruce,154,65,0.8
10851500,22.3059,61.3836,spruce,84,13,1.6
10869000,22.2657,61.3657,spruce,274,81,1.8
8897000,22.2095,61.3192,spruce,299,81,0.8
8896000,22.1968,61.3234,pine,185,63,1.2
8900500,22.2015,61.3459,spruce,290,73,0.6
8917000,22.1758,61.3515,birch,44,18,0.9
8895000,22.1823,61.3467,pine,241,36,1.0
8901000,22.1358,61.3765,pine,79,25,0.6
9859500,22.1515,61.2748,pine,139,50,0.7
9849000,22.1283,61.2885,pine,37,34,0.7
8899000,22.1385,61.3395,pine,333,80,4.5
20363500,22.0672,61.3755,spruce,362,89,1.7
24758000,22.0302,61.2403,spruce,109,32,0.5
21061000,22.0244,61.4046,spruce,26,9,0.6
21686500,21.9468,61.3758,pine,172,64,1.0
21649000,22.0105,61.4758,spruce,35,22,0.7
28196500,22.1638,61.4983,spruce,363,106,1.7
14842000,22.1750,61.4909,pine,218,83,1.5
9298500,22.2443,61.4853,pine,23,17,1.2
9299500,22.2659,61.4781,spruce,198,54,0.9
21467500,22.1172,61.4476,other,73,24,1.8
21685500,21.9691,61.4311,pine,212,72,5.0
20363000,22.0224,61.4082,spruce,241,67,1.2
14841000,22.2945,61.4421,pine,255,83,1.4
10641000,22.3087,61.4220,spruce,219,58,1.6
10685000,22.2420,61.3984,spruce,373,90,0.7
8898000,22.1761,61.4044,spruce,72,20,1.3
20935000,22.1348,61.3989,spruce,315,68,1.5
23970000,21.9227,61.5361,spruce,43,15,0.7
21647000,21.9598,61.5214,spruce,234,71,3.4
21649500,21.9625,61.5115,spruce,144,51,0.7
8860000,22.0325,61.5158,spruce,202,72,1.4
8860500,22.0718,61.4893,spruce,247,49,2.7
21648500,21.9903,61.5036,other,91,14,1.0
8859000,22.1046,61.4892,spruce,129,45,0.8
20503000,21.8549,61.2198,pine,171,59,1.5
22371500,22.0212,61.1812,pine,113,72,1.6
22373500,22.0163,61.1765,pine,41,20,0.9
20495500,21.9352,61.1834,pine,315,65,3.9
24156000,21.9184,61.1777,spruce,229,48,0.6
21700000,21.9355,61.3041,spruce,107,16,1.0
21699000,21.9653,61.2970,spruce,365,65,1.0
21686000,21.9584,61.3718,pine,52,15,0.9
21776500,21.9806,61.2250,other,282,58,0.5
21774000,21.9424,61.2855,spruce,285,73,1.5
20932000,21.9274,61.2918,spruce,27,25,0.9
24672500,21.8804,61.3097,spruce,167,57,0.7
24155500,21.8714,61.2752,spruce,58,62,1.3
24154000,21.8687,61.2867,spruce,236,58,0.7
20527500,21.8325,61.4034,other,62,27,1.9
21688000,21.8458,61.3838,spruce,117,56,0.8
21699500,21.8404,61.3581,pine,27,119,1.2
20504000,21.7829,61.2737,spruce,115,39,0.9
20658000,21.7897,61.3405,other,52,15,1.2
20319000,21.7352,61.3567,pine,291,67,6.4
20505000,21.7221,61.2758,spruce,188,50,1.0
20195500,21.7562,61.3944,spruce,259,42,1.4
21687500,21.7514,61.3806,spruce,300,84,3.3
20318500,21.7532,61.3304,spruce,260,57,0.7
20545500,21.7231,61.2132,other,97,31,0.5
23970500,21.8246,61.5457,pine,318,67,1.1
23969000,21.8065,61.5481,pine,174,69,2.3
23971000,21.8774,61.5100,other,79,29,1.9
20527000,21.8531,61.4042,pine,212,59,1.5
20903000,21.7309,61.3947,pine,172,39,0.9
24476000,21.6832,61.4273,other,131,28,1.6
20196000,21.7387,61.4336,spruce,346,72,0.8
24473000,21.6511,61.4849,spruce,236,77,1.2
21584000,21.8411,61.1458,spruce,174,39,1.0
24158000,21.8106,61.1626,pine,249,61,0.7
21583000,21.8335,61.1205,pine,138,65,0.5
24157500,21.8246,61.1776,pine,165,49,0.7
20497000,21.7916,61.1791,pine,70,43,0.5
23473500,21.7969,61.0901,spruce,386,110,0.5
21583500,21.7603,61.1335,spruce,352,84,3.0
22784500,21.7588,61.1878,pine,33,29,1.0
20226500,21.7612,61.1104,other,254,58,1.0
24157000,21.7145,61.1677,spruce,364,84,1.3
20155000,21.6444,61.0763,pine,134,68,0.6
23971500,21.6847,61.5599,pine,60,16,0.6
24475000,21.6506,61.4656,pine,97,22,8.2
20844000,21.6221,61.4107,spruce,214,63,2.4
24474000,21.6149,61.4614,spruce,279,62,0.6
24474500,21.6328,61.4568,pine,197,49,1.8
24472500,21.6334,61.5298,pine,255,70,1.5
24473500,21.6179,61.5002,pine,199,58,1.0
22794000,21.5917,61.3913,spruce,211,55,1.5
24484000,21.5027,61.4999,pine,205,70,1.9
24472000,21.5474,61.4851,pine,157,45,2.2
20102000,21.6456,61.3756,pine,86,15,0.6
21555000,21.5680,61.3113,spruce,313,69,1.7
21550000,21.6852,61.3040,spruce,259,64,1.2
20544500,21.5260,61.2707,spruce,265,63,0.8
21835000,21.6510,61.2761,spruce,205,48,1.0
21836500,21.6228,61.2602,spruce,156,56,0.7
24155000,21.7329,61.2353,pine,34,20,3.1
23998000,21.6237,61.2138,pine,303,79,0.5
23997500,21.6202,61.2198,other,149,26,0.7
23999500,21.5920,61.1910,other,101,24,0.7
20491500,21.4335,61.1947,pine,187,82,0.8
21347500,21.4846,61.1898,other,136,32,0.6
20152000,21.6860,61.0962,pine,70,82,0.5
24158500,21.6824,61.1510,spruce,226,71,0.8
20489500,21.5372,61.1479,pine,120,86,1.3
20153000,21.5725,61.1460,pine,165,44,1.6
20151500,21.5247,61.1067,spruce,164,40,0.6
21348000,21.4980,61.1678,pine,81,60,0.8
4421000,21.4784,61.1655,pine,251,94,0.9
20128500,21.4953,61.1044,pine,207,52,1.3
23615500,21.7213,61.0556,other,88,31,0.9
23475000,21.8169,61.0640,spruce,243,89,1.0
23461000,21.7485,61.0404,spruce,67,40,3.2
23616000,21.7163,61.0234,other,159,40,1.1
23617000,21.6739,61.0254,pine,120,78,1.5
23476000,21.8092,61.0415,pine,165,89,1.1
24163500,21.5427,61.0726,pine,205,78,4.2
10961000,22.4580,61.4416,pine,186,57,1.2
10778000,22.5124,61.4196,spruce,316,83,1.5
9798000,22.4339,61.3672,pine,63,18,0.9
10614000,22.4379,61.3704,spruce,170,65,1.3
10748500,22.5427,61.3894,spruce,276,87,1.2
10736000,22.4201,61.3613,pine,116,51,2.5
10727000,22.3803,61.3361,pine,189,67,1.5
10200000,22.2088,61.2604,pine,126,61,0.6
24759000,22.1466,61.2434,spruce,278,66,0.9
24758500,22.1218,61.2316,pine,75,31,0.7
10014000,22.2063,61.2316,other,329,77,1.0
10309000,22.2363,61.2272,pine,100,57,0.5
10071500,22.2116,61.2070,spruce,228,85,1.4
20397500,22.1635,61.2233,spruce,380,74,1.6
28157000,22.1408,61.2038,spruce,212,83,1.2
10339500,22.3212,61.1984,pine,207,61,2.5
22420500,22.0152,61.1474,spruce,182,59,1.3
20397000,22.1056,61.1836,pine,306,83,1.1
22419500,22.0461,61.1463,pine,303,81,3.0
22372000,21.9698,61.1306,spruce,224,69,0.6
23655000,22.0996,61.1263,pine,68,108,1.4
22420000,22.0917,61.1217,spruce,162,57,0.9
10583500,22.5547,61.3416,pine,254,79,1.5
10578500,22.5432,61.3335,pine,34,88,0.8
10648000,22.4755,61.3262,birch,30,17,0.8
10654000,22.4945,61.3154,birch,25,12,2.5
10553500,22.5613,61.3204,pine,70,16,4.7
10622000,22.4363,61.2723,pine,211,65,1.7
10600000,22.4838,61.2600,pine,101,28,0.7
10506500,22.5708,61.2759,birch,101,22,0.9
10514000,22.4116,61.2582,other,85,39,1.6
23497500,21.9584,61.0912,pine,164,37,4.5
23475500,21.8691,61.0521,pine,180,75,1.9
23473000,21.8524,61.0488,pine,83,30,0.8
12211000,22.8779,61.1179,pine,153,33,3.0
12221000,22.8807,61.1162,spruce,126,34,1.2
12213500,22.8998,61.1117,pine,63,19,1.0
12213000,22.9174,61.0736,spruce,271,65,0.7
12212500,22.9104,61.0798,spruce,184,53,1.1
10120000,22.9127,61.1982,pine,34,16,1.1
12211500,22.8511,61.1355,pine,150,31,3.7
10114500,22.8834,61.1592,pine,293,64,2.8
24139500,22.8949,61.1538,pine,224,63,1.4
24869500,22.6955,61.0148,spruce,46,42,0.6
24848500,22.6466,61.0015,spruce,31,15,0.5
24915500,22.8121,61.0432,spruce,289,65,2.8
24916500,22.7821,61.0305,pine,48,74,8.9
24937500,22.6591,60.9877,pine,142,77,4.9
24577500,22.0160,60.9572,spruce,336,53,1.4
24749500,22.1521,60.9233,pine,153,74,0.6
24751000,22.1875,60.9136,pine,152,56,2.4
24747500,22.1444,60.8947,spruce,239,55,1.0
24578000,22.0365,60.9272,pine,197,38,2.1
24573500,21.9891,60.9367,spruce,309,77,1.5
22649000,21.5331,61.0299,pine,26,15,1.3
22648500,21.4914,61.0077,spruce,310,72,3.8
22667500,21.5725,61.0174,spruce,308,70,1.6
24165000,21.5445,61.0255,spruce,190,64,2.8
20128000,21.5421,61.0128,pine,224,58,0.6
13691500,24.9432,61.2464,spruce,147,43,0.7
12493500,24.9675,61.2062,spruce,24,15,1.1
12492500,24.9506,61.1613,pine,323,95,1.7
13689000,24.9038,61.2485,spruce,322,100,2.2
13689500,24.9194,61.1441,spruce,106,29,0.7
12497000,25.0630,61.1626,spruce,280,79,0.9
12924000,25.1367,61.1185,spruce,380,83,0.6
12928000,25.1848,61.0882,other,107,27,2.8
12929000,25.1554,61.0831,spruce,143,34,0.6
12928500,25.1719,61.0821,spruce,241,56,3.5
17712000,23.8219,61.0783,spruce,303,63,4.2
18173500,24.4350,60.9205,pine,34,22,0.5
18174000,24.4024,60.9977,spruce,243,93,0.5
18172000,24.4467,60.9337,pine,243,68,1.5
26174000,24.3850,60.9396,spruce,367,101,3.4
18170500,24.3969,60.9386,pine,168,65,5.1
26175000,24.4228,60.9423,spruce,252,83,2.2
16428500,24.2901,61.0816,pine,206,58,2.9
16428000,24.2986,61.0796,pine,294,55,1.8
13179500,24.3961,61.0780,spruce,245,67,0.9
16517500,24.3660,61.0461,spruce,203,49,1.3
26031000,24.9583,60.8472,spruce,120,35,0.8
27162500,24.9511,60.8899,spruce,143,27,0.7
16892500,24.9137,60.9361,pine,187,56,2.2
16894500,24.9014,60.9260,spruce,340,86,0.9
16892000,24.8809,60.8823,pine,103,27,0.9
13120000,24.8887,60.9764,spruce,169,41,2.4
26031500,24.9422,60.8316,spruce,32,9,1.4
27164000,24.9199,60.8576,spruce,30,16,2.3
26032000,25.0557,60.8546,pine,92,16,0.6
